,birth,death,persistence,dimH
0,0.0,1.0,1.0,0
1,0.0,2.0,2.0,0
2,0.0,3.0,3.0,0
3,0.0,4.0,4.0,0
4,0.0,5.0,5.0,0
5,0.0,6.0,6.0,0
6,0.0,7.0,7.0,0
7,0.0,8.0,8.0,0
8,0.0,9.0,9.0,0
9,0.0,10.0,10.0,0
10,0.0,11.0,11.0,0
11,0.0,12.0,12.0,0
12,0.0,13.0,13.0,0
13,0.0,14.0,14.0,0
14,0.0,15.0,15.0,0
15,0.0,16.0,16.0,0
16,0.0,17.0,17.0,0
17,0.0,18.0,18.0,0
18,0.0,19.0,19.0,0
19,0.0,20.0,20.0,0
20,0.0,21.0,21.0,0
21,0.0,22.0,22.0,0
22,0.0,23.0,23.0,0
23,0.0,24.0,24.0,0
24,0.0,25.0,25.0,0
25,0.0,26.0,26.0,0
26,0.0,27.0,27.0,0
27,0.0,28.0,28.0,0
28,0.0,29.0,29.0,0
29,0.0,30.0,30.0,0
30,0.0,31.0,31.0,0
31,0.0,32.0,32.0,0
32,0.0,33.0,33.0,0
33,0.0,34.0,34.0,0
34,0.0,35.0,35.0,0
35,0.0,36.0,36.0,0
36,0.0,37.0,37.0,0
37,0.0,38.0,38.0,0
38,0.0,39.0,39.0,0
39,0.0,40.0,40.0,0
40,0.0,41.0,41.0,0
41,0.0,42.0,42.0,0
42,0.0,43.0,43.0,0
43,0.0,44.0,44.0,0
44,0.0,45.0,45.0,0
45,0.0,46.0,46.0,0
46,0.0,47.0,47.0,0
47,0.0,48.0,48.0,0
48,0.0,49.0,49.0,0
49,0.0,50.0,50.0,0
50,0.0,51.0,51.0,0
51,0.0,52.0,52.0,0
52,0.0,53.0,53.0,0
53,0.0,54.0,54.0,0
54,0.0,55.0,55.0,0
55,0.0,56.0,56.0,0
56,0.0,57.0,57.0,0
57,0.0,58.0,58.0,0
58,0.0,59.0,59.0,0
59,0.0,61.0,61.0,0
60,0.0,63.0,63.0,0
61,0.0,64.0,64.0,0
62,0.0,65.0,65.0,0
63,0.0,66.0,66.0,0
64,0.0,67.0,67.0,0
65,0.0,68.0,68.0,0
66,0.0,70.0,70.0,0
67,0.0,71.0,71.0,0
68,0.0,73.0,73.0,0
69,0.0,77.0,77.0,0
70,0.0,78.0,78.0,0
71,0.0,79.0,79.0,0
72,0.0,80.0,80.0,0
73,0.0,81.0,81.0,0
74,0.0,83.0,83.0,0
75,0.0,84.0,84.0,0
76,0.0,85.0,85.0,0
77,0.0,88.0,88.0,0
78,0.0,89.0,89.0,0
79,0.0,90.0,90.0,0
80,0.0,91.0,91.0,0
81,0.0,93.0,93.0,0
82,0.0,94.0,94.0,0
83,0.0,102.0,102.0,0
84,0.0,105.0,105.0,0
85,0.0,107.0,107.0,0
86,0.0,112.0,112.0,0
87,0.0,119.0,119.0,0
88,0.0,122.0,122.0,0
89,0.0,124.0,124.0,0
90,0.0,130.0,130.0,0
91,0.0,134.0,134.0,0
92,0.0,136.0,136.0,0
93,0.0,140.0,140.0,0
94,0.0,144.0,144.0,0
95,0.0,147.0,147.0,0
96,0.0,161.0,161.0,0
97,0.0,196.0,196.0,0
98,0.0,208.0,208.0,0
99,0.0,292.0,292.0,0
0,289.0,292.0,3.0,1
1,287.0,292.0,5.0,1
2,283.0,292.0,9.0,1
3,282.0,292.0,10.0,1
4,278.0,292.0,14.0,1
5,276.0,292.0,16.0,1
6,275.0,292.0,17.0,1
7,274.0,292.0,18.0,1
8,272.0,292.0,20.0,1
9,271.0,292.0,21.0,1
10,268.0,292.0,24.0,1
11,265.0,292.0,27.0,1
12,264.0,292.0,28.0,1
13,263.0,292.0,29.0,1
14,261.0,279.0,18.0,1
15,258.0,292.0,34.0,1
16,257.0,292.0,35.0,1
17,256.0,292.0,36.0,1
18,255.0,292.0,37.0,1
19,253.0,292.0,39.0,1
20,250.0,292.0,42.0,1
21,249.0,273.0,24.0,1
22,248.0,292.0,44.0,1
23,247.0,292.0,45.0,1
24,243.0,292.0,49.0,1
25,241.0,279.0,38.0,1
26,238.0,292.0,54.0,1
27,237.0,292.0,55.0,1
28,236.0,286.0,50.0,1
29,235.0,292.0,57.0,1
30,234.0,292.0,58.0,1
31,233.0,292.0,59.0,1
32,232.0,292.0,60.0,1
33,231.0,292.0,61.0,1
34,230.0,292.0,62.0,1
35,228.0,292.0,64.0,1
36,227.0,292.0,65.0,1
37,226.0,292.0,66.0,1
38,225.0,292.0,67.0,1
39,224.0,292.0,68.0,1
40,223.0,292.0,69.0,1
41,222.0,292.0,70.0,1
42,221.0,292.0,71.0,1
43,217.0,292.0,75.0,1
44,216.0,292.0,76.0,1
45,214.0,292.0,78.0,1
46,213.0,291.0,78.0,1
47,212.0,292.0,80.0,1
48,211.0,292.0,81.0,1
49,210.0,292.0,82.0,1
50,209.0,292.0,83.0,1
51,207.0,292.0,85.0,1
52,205.0,251.0,46.0,1
53,204.0,292.0,88.0,1
54,203.0,292.0,89.0,1
55,202.0,292.0,90.0,1
56,201.0,292.0,91.0,1
57,199.0,292.0,93.0,1
58,198.0,292.0,94.0,1
59,197.0,292.0,95.0,1
60,195.0,292.0,97.0,1
61,194.0,292.0,98.0,1
62,193.0,292.0,99.0,1
63,192.0,292.0,100.0,1
64,191.0,292.0,101.0,1
65,187.0,292.0,105.0,1
66,186.0,292.0,106.0,1
67,184.0,292.0,108.0,1
68,183.0,292.0,109.0,1
69,182.0,292.0,110.0,1
70,181.0,292.0,111.0,1
71,180.0,292.0,112.0,1
72,179.0,292.0,113.0,1
73,178.0,292.0,114.0,1
74,177.0,292.0,115.0,1
75,176.0,292.0,116.0,1
76,175.0,292.0,117.0,1
77,174.0,292.0,118.0,1
78,173.0,292.0,119.0,1
79,172.0,292.0,120.0,1
80,171.0,292.0,121.0,1
81,170.0,292.0,122.0,1
82,169.0,292.0,123.0,1
83,167.0,292.0,125.0,1
84,166.0,251.0,85.0,1
85,164.0,292.0,128.0,1
86,163.0,190.0,27.0,1
87,162.0,292.0,130.0,1
88,158.0,292.0,134.0,1
89,157.0,292.0,135.0,1
90,155.0,292.0,137.0,1
91,153.0,292.0,139.0,1
92,149.0,292.0,143.0,1
93,148.0,292.0,144.0,1
94,146.0,269.0,123.0,1
95,145.0,292.0,147.0,1
96,143.0,292.0,149.0,1
97,142.0,292.0,150.0,1
98,141.0,292.0,151.0,1
99,139.0,292.0,153.0,1
100,138.0,292.0,154.0,1
101,137.0,292.0,155.0,1
102,133.0,292.0,159.0,1
103,132.0,292.0,160.0,1
104,129.0,292.0,163.0,1
105,128.0,292.0,164.0,1
106,126.0,206.0,80.0,1
107,125.0,292.0,167.0,1
108,121.0,292.0,171.0,1
109,120.0,292.0,172.0,1
110,118.0,292.0,174.0,1
111,117.0,292.0,175.0,1
112,116.0,292.0,176.0,1
113,115.0,292.0,177.0,1
114,114.0,292.0,178.0,1
115,113.0,292.0,179.0,1
116,111.0,292.0,181.0,1
117,109.0,292.0,183.0,1
118,108.0,292.0,184.0,1
119,106.0,292.0,186.0,1
120,104.0,292.0,188.0,1
121,103.0,292.0,189.0,1
122,101.0,292.0,191.0,1
123,100.0,292.0,192.0,1
124,99.0,292.0,193.0,1
125,98.0,279.0,181.0,1
126,97.0,292.0,195.0,1
127,95.0,292.0,197.0,1
128,92.0,292.0,200.0,1
129,87.0,292.0,205.0,1
130,86.0,292.0,206.0,1
131,82.0,292.0,210.0,1
132,76.0,292.0,216.0,1
133,75.0,292.0,217.0,1
134,74.0,292.0,218.0,1
135,69.0,292.0,223.0,1
136,60.0,292.0,232.0,1
